Front,Back,Source
Was ist die Staatsform der Schweiz?,Ein Bundesstaat mit Kompetenzverteilung zwischen Bund und Kantonen (Subsidiaritätsprinzip).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele offizielle Landessprachen hat die Schweiz und welche?,"Vier: Deutsch, Französisch, Italienisch, Rätoromanisch.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
An welche fünf Länder grenzt die Schweiz?,"Frankreich, Deutschland, Österreich, Liechtenstein, Italien.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Welche Kammern bilden das eidgenössische Parlament?,Nationalrat (200 Mitglieder) und Ständerat (46 Mitglieder).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wo befindet sich das höchste Gericht der Schweiz?,Bundesgericht in Lausanne.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wer ist 2025 Bundespräsident/in der Schweiz?,Karin Keller-Sutter (EFD).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist 2025 Vizepräsident des Bundesrats?,Guy Parmelin (WBF).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welches Departement leitet Ignazio Cassis?,Eidgenössisches Departement für auswärtige Angelegenheiten (EDA).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welches Departement leitet Albert Rösti?,"UVEK: Umwelt, Verkehr, Energie und Kommunikation.",Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welches Departement leitet Elisabeth Baume-Schneider?,Eidgenössisches Departement des Innern (EDI).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welches Departement leitet Beat Jans?,Eidgenössisches Justiz- und Polizeidepartement (EJPD).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welches Departement leitet Martin Pfister?,"Departement für Verteidigung, Bevölkerungsschutz und Sport (VBS).",Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wie viele Mitglieder hat der Nationalrat?,200 Mitglieder.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wie viele Mitglieder hat der Ständerat und wie verteilt?,"46 Mitglieder: 2 pro Kanton (Ausnahmen: Basel-Stadt, Basel-Landschaft, Appenzell I./A. sowie Nid- und Obwalden je 1).",Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nenne die sieben Nationalräte/innen aus dem Kanton Freiburg (FR).,Pierre-André Page; Christine Bulliard-Marbach; Nicolas Kolly; Gerhard Andrey; Valérie Piller Carrard; Nadine Gobet; Marie-France Roth Pasquier.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer vertritt den Kanton Freiburg im Ständerat (2025)?,Johanna Gapany; Isabelle Chassot.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wie viele Mitglieder hat der Staatsrat des Kantons Freiburg?,7 Mitglieder.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer präsidiert den Staatsrat 2025?,Jean-François Steiert (RUMI).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist 2025 Vizepräsident des Staatsrats Freiburg?,Philippe Demierre (GSD).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welche Direktion führt Jean‑Pierre Siggen?,Finanzdirektion (FIND).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welche Direktion führt Sylvie Bonvin‑Sansonnens?,Direktion für Bildung und kulturelle Angelegenheiten (BKAD).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welche Direktion führt Didier Castella?,Direktion der Institutionen und der Land- und Forstwirtschaft (ILFD).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welche Direktion führt Olivier Curty?,Volkswirtschafts- und Berufsbildungsdirektion (VWBD).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Welche Direktion führt Romain Collaud?,"Sicherheits-, Justiz- und Sportdirektion (SJSD).",Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wie viele Mitglieder hat der Grosse Rat Freiburg?,110 Mitglieder.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist Präsident/in des Grossen Rats 2025?,Françoise Savoy.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wie viele Verwaltungsbezirke hat der Kanton Freiburg?,Sieben Verwaltungsbezirke.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist Oberamtsperson im Bezirk Saane (Sarine)?,Lise‑Marie Graden.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist Oberamtsperson im Bezirk Sense?,Manfred Raemy.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist Oberamtsperson im Bezirk Greyerz (Gruyère)?,Vincent Bosson.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist Oberamtsperson im Bezirk See (Lac)?,Christoph Wieland.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist Oberamtsperson im Bezirk Glâne?,Valentin Bard.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist Oberamtsperson im Bezirk Broye?,Nicolas Kilchoer.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer ist Oberamtsperson im Bezirk Vivisbach (Veveyse)?,François Genoud.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Was ist die Hauptaufgabe der Oberamtspersonen?,"Wahrung der öffentlichen Ordnung, Aufsicht über Gesetzesvollzug und Gemeinden; gewisse Strafkompetenzen; Beschwerdeinstanz gegen Gemeindeentscheide.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele Mitglieder hat ein Gemeinderat (je nach Einwohnerzahl)?,"5, 7 oder 9 Mitglieder.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
"Wie heisst die gesetzgebende Behörde in grösseren Gemeinden (>600 Einw.), falls vorhanden?",Generalrat.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Wer übt die gesetzgebende Gewalt in kleinen Gemeinden (<600 Einw.) aus?,Die Gemeindeversammlung (Stimmberechtigte).,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Ab welchem Alter ist man in CH stimmberechtigt (kantonal)?,Ab 18 Jahren; Schweizer Bürgerrecht und Wohnsitz im Kanton erforderlich.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Welche zwei Instrumente der direkten Demokratie gibt es auf Bundesebene?,Referendum (fakultativ/obligatorisch) und Volksinitiative.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele Unterschriften braucht das fakultative Referendum auf Bundesebene?,50’000 Unterschriften in 100 Tagen.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele Unterschriften braucht eine Volksinitiative auf Bundesebene?,100’000 Unterschriften.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele Unterschriften braucht das fakultative Referendum im Kanton Freiburg?,6’000 Unterschriften in 90 Tagen.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele Unterschriften braucht eine kantonale Initiative in Freiburg?,6’000 Unterschriften (Frist 90 Tage).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Was ist in Freiburg eine Volksmotion?,"Ein Vorstoss an den Grossen Rat, von mind. 300 Stimmberechtigten unterzeichnet, der den Staatsrat verpflichtet, einen Erlassentwurf vorzulegen.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Welche drei Grundpfeiler/ Gewalten gibt es?,"Exekutive, Legislative, Judikative.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Was macht der Bundesrat als Exekutive?,"Führt die Staatsgeschäfte, bereitet Gesetze/Budgets vor, ernennt Bundesbeamte, leitet Verwaltung.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Was sind zentrale Aufgaben der Bundesversammlung?,"Erlass von Bundesgesetzen, Budget genehmigen, Wahl von Bundesräten und Bundesrichtern, Oberaufsicht.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie ist die Judikative des Bundes organisiert (weitere Gerichte)?,Bundesstrafgericht (Bellinzona); Bundesverwaltungsgericht & Bundespatentgericht (St. Gallen); Bundesgerichtsteile auch in Luzern.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Was bedeutet Subsidiaritätsprinzip in der Schweiz?,"Kantone haben allgemeine Zuständigkeit; Bund erhält Kompetenzen nur, wenn Verfassung sie überträgt.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Nenne drei bekannte Schweizer Berggipfel.,"Eiger, Mönch, Jungfrau; auch Dufourspitze (höchster), Matterhorn.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Nenne drei grosse Schweizer Flüsse.,"Rhone, Rhein, Aare.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele Einwohner hatte die Schweiz im 3. Quartal 2024 (gerundet)?,9’027’859 Einwohner.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie viele Einwohner hatte der Kanton Freiburg am 31.12.2023 (gerundet)?,341’537 Bewohner.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie heisst der höchste Berg des Kantons Freiburg?,Vanil Noir.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Nenne zwei weitere Freiburger Berge.,La Berra; Moléson; (auch Kaiseregg).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Nenne drei wichtige Freiburger Flüsse/Seen.,Saane; Sense; Glâne; Broye; Trême; Murtensee; Greyerzersee; Schiffenensee; Schwarzsee.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie heissen die sieben Bezirke des Kantons Freiburg mit Hauptorten?,Saane–Freiburg; Sense–Tafers; Greyerz–Bulle; See–Murten; Glâne–Romont; Broye–Estavayer-le-Lac; Vivisbach–Châtel‑St‑Denis.,Politische Institutionen der Schweiz und des Kantons Freiburg (2025)
Nenne drei Kernaufgaben des Bundes.,"Landeswährung; Aussenpolitik; Landesverteidigung; (auch Sozial-/Gesundheitspolitik, Nationalstrassen, Asyl/Migration, Straf-/Zivilrecht).",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Nenne drei Kernaufgaben der Kantone.,Steuergesetzgebung kantonal; Spitalorganisation; Kantonsstrassen; Gerichtsorganisation; ordentliche Einbürgerung.,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Welche Aufgaben hat die Gemeindelegislative (Generalrat/Gemeindeversammlung)?,"Budget und Rechnung genehmigen, Steuern festlegen, Reglemente erlassen, Aufsicht über Verwaltung.",Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wer steht dem Gemeinderat vor?,Gemeindepräsident/in (Ammann).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
Wie heisst die Gerichtsbehörde des Kantons Freiburg auf oberster Stufe?,Kantonsgericht (oberste kantonale Gerichtsbehörde).,Staatskundekurs für Einbürgerungskandidatinnen und -kandidaten (SENA 2025)
